Bandit Simulation Output
========================

Iterations: 1000
Alpha: 1.0
SVD dimensions: 20
Top candidates pool: 50
Final Top-K: 10

Iteration, CumulativeReward, BanditPrecision, StaticPrecision, ExplorationRate, BanditTop1HitRate, StaticTop1HitRate
100, 42, 0.4300, 0.4930, 0.9800, 0.4200, 0.4700
200, 90, 0.4630, 0.5175, 0.9900, 0.4500, 0.5100
300, 129, 0.4410, 0.4943, 0.9800, 0.4300, 0.4833
400, 178, 0.4427, 0.4890, 0.9800, 0.4450, 0.4600
500, 226, 0.4352, 0.4746, 0.9720, 0.4520, 0.4520
600, 279, 0.4457, 0.4822, 0.9750, 0.4650, 0.4683
700, 325, 0.4420, 0.4796, 0.9757, 0.4643, 0.4571
800, 375, 0.4437, 0.4840, 0.9775, 0.4688, 0.4612
900, 431, 0.4488, 0.4873, 0.9778, 0.4789, 0.4644
1000, 483, 0.4489, 0.4882, 0.9780, 0.4830, 0.4710
